date,consumption,month,day,weekend,holiday
2022-10-18,838818.13,October,Tuesday,Weekday,No holiday
2022-10-19,834358.85,October,Wednesday,Weekday,No holiday
2022-10-20,837491.36,October,Thursday,Weekday,No holiday
2022-10-21,826990.28,October,Friday,Weekday,No holiday
2022-10-22,792007.99,October,Saturday,Weekend,No holiday
2022-10-23,705914.86,October,Sunday,Weekend,No holiday
2022-10-24,807354.75,October,Monday,Weekday,No holiday
2022-10-25,829470.9,October,Tuesday,Weekday,No holiday
2022-10-26,830819.51,October,Wednesday,Weekday,No holiday
2022-10-27,834624.11,October,Thursday,Weekday,No holiday
2022-10-28,793602.67,October,Friday,Weekday,No holiday
2022-10-29,719767.3,October,Saturday,Weekend,Republic Day
2022-10-30,682213.66,October,Sunday,Weekend,No holiday
2022-10-31,805744.03,October,Monday,Weekday,No holiday
2022-11-01,827282.69,November,Tuesday,Weekday,No holiday
2022-11-02,832255.52,November,Wednesday,Weekday,No holiday
2022-11-03,835622.93,November,Thursday,Weekday,No holiday
2022-11-04,831597.19,November,Friday,Weekday,No holiday
2022-11-05,789916.66,November,Saturday,Weekend,No holiday
2022-11-06,705707.78,November,Sunday,Weekend,No holiday
2022-11-07,820548.76,November,Monday,Weekday,No holiday
2022-11-08,844739.54,November,Tuesday,Weekday,No holiday
2022-11-09,842015.19,November,Wednesday,Weekday,No holiday
2022-11-10,844235.82,November,Thursday,Weekday,No holiday
2022-11-11,844304.94,November,Friday,Weekday,No holiday
2022-11-12,801711.01,November,Saturday,Weekend,No holiday
2022-11-13,713056.41,November,Sunday,Weekend,No holiday
2022-11-14,827806.74,November,Monday,Weekday,No holiday
2022-11-15,852241.73,November,Tuesday,Weekday,No holiday
2022-11-16,861242.68,November,Wednesday,Weekday,No holiday
2022-11-17,862315.51,November,Thursday,Weekday,No holiday
2022-11-18,857245.03,November,Friday,Weekday,No holiday
2022-11-19,800309.0,November,Saturday,Weekend,No holiday
2022-11-20,715094.2,November,Sunday,Weekend,No holiday
2022-11-21,821066.55,November,Monday,Weekday,No holiday
2022-11-22,841567.33,November,Tuesday,Weekday,No holiday
2022-11-23,847851.22,November,Wednesday,Weekday,No holiday
2022-11-24,861774.96,November,Thursday,Weekday,No holiday
2022-11-25,867726.01,November,Friday,Weekday,No holiday
2022-11-26,828031.65,November,Saturday,Weekend,No holiday
2022-11-27,747235.88,November,Sunday,Weekend,No holiday
2022-11-28,861392.75,November,Monday,Weekday,No holiday
2022-11-29,880973.25,November,Tuesday,Weekday,No holiday
2022-11-30,876542.67,November,Wednesday,Weekday,No holiday
2022-12-01,872883.22,December,Thursday,Weekday,No holiday
2022-12-02,864693.17,December,Friday,Weekday,No holiday
2022-12-03,824878.51,December,Saturday,Weekend,No holiday
2022-12-04,739171.72,December,Sunday,Weekend,No holiday
2022-12-05,857238.82,December,Monday,Weekday,No holiday
2022-12-06,881445.93,December,Tuesday,Weekday,No holiday
2022-12-07,886895.39,December,Wednesday,Weekday,No holiday
2022-12-08,889603.88,December,Thursday,Weekday,No holiday
2022-12-09,876193.78,December,Friday,Weekday,No holiday
2022-12-10,839013.67,December,Saturday,Weekend,No holiday
